episodio,recompensa_total,epsilon,chegou_ao_objetivo,eficiencia_episodio,passos_totais
0,-1.5000,0.9995,0,0.00,100
1,-15.0000,0.9990,0,0.00,100
2,-8.8500,0.9985,1,3.53,85
3,9.4300,0.9980,1,28.57,7
4,9.4100,0.9975,1,22.22,9
5,-6.0000,0.9970,0,0.00,100
6,-9.0000,0.9965,0,0.00,100
7,-16.5000,0.9960,0,0.00,100
8,-11.5000,0.9955,0,0.00,100
9,-7.5000,0.9950,0,0.00,100
10,-27.5000,0.9945,0,0.00,100
11,-9.5000,0.9940,0,0.00,100
12,-16.5000,0.9935,0,0.00,100
13,-11.5000,0.9930,0,0.00,100
14,-8.0000,0.9925,0,0.00,100
15,-10.0000,0.9920,0,0.00,100
16,-12.5000,0.9915,0,0.00,100
17,-6.0000,0.9910,0,0.00,100
18,-5.0000,0.9905,0,0.00,100
19,-8.5000,0.9900,0,0.00,100
20,6.9700,0.9896,1,18.87,53
21,-10.0000,0.9891,0,0.00,100
22,-29.0000,0.9886,0,0.00,100
23,-17.0000,0.9881,0,0.00,100
24,9.4400,0.9876,1,50.00,6
25,-24.5000,0.9871,0,0.00,100
26,-21.0000,0.9866,0,0.00,100
27,-15.0000,0.9861,0,0.00,100
28,6.1100,0.9856,1,10.26,39
29,-9.0000,0.9851,0,0.00,100
30,-6.0000,0.9846,0,0.00,100
31,8.6100,0.9841,1,7.69,39
32,-6.0000,0.9836,0,0.00,100
33,-6.0000,0.9831,0,0.00,100
34,-20.5000,0.9826,0,0.00,100
35,5.4600,0.9822,1,20.37,54
36,-12.5000,0.9817,0,0.00,100
37,9.9700,0.9812,1,33.33,3
38,7.8100,0.9807,1,5.26,19
39,5.3800,0.9802,1,16.13,62
40,-9.5000,0.9797,0,0.00,100
41,8.9100,0.9792,1,55.56,9
42,-12.5000,0.9787,0,0.00,100
43,8.7100,0.9782,1,37.93,29
44,-11.5000,0.9777,0,0.00,100
45,8.7800,0.9773,1,36.36,22
46,-7.5000,0.9768,0,0.00,100
47,6.4500,0.9763,1,14.55,55
48,-10.0000,0.9758,0,0.00,100
49,9.8600,0.9753,1,42.86,14
50,9.9800,0.9748,1,50.00,2
